Названия строк;s_1;s_2_corr
6457;1;no_data
6468;1;no_data
6472;1;no_data
6473;1;no_data
6474;1;no_data
6477;1;no_data
6486;1;no_data
6488;1;no_data
6508;1;no_data
6509;1;no_data
6511;1;no_data
6512;1;no_data
6514;1;no_data
6515;1;no_data
6516;1;no_data
6517;1;no_data
6519;1;no_data
6520;1;no_data
6521;1;no_data
6523;1;no_data
6524;1;no_data
6525;1;no_data
6527;1;no_data
6528;1;no_data
6529;1;no_data
6530;0;no_data
6531;1;no_data
6532;1;no_data
6534;1;no_data
6535;1;no_data
6536;1;no_data
6537;1;no_data
6538;1;no_data
6539;1;no_data
6540;1;no_data
6541;1;no_data
6542;1;no_data
6597;0;no_data
6598;1;no_data
6599;1;no_data
6600;1;no_data
6601;1;no_data
6603;0;no_data
6604;1;no_data
6606;1;no_data
6607;1;no_data
6608;1;no_data
6609;1;no_data
6610;1;no_data
6611;1;no_data
6612;1;no_data
6613;1;no_data
6614;1;no_data
6615;1;no_data
6616;1;no_data
6617;1;no_data
6618;1;no_data
6619;1;no_data
6620;1;no_data
6621;1;no_data
6622;1;no_data
6623;1;no_data
6624;1;no_data
6625;0;no_data
6626;1;no_data
6627;1;no_data
6628;1;no_data
6629;1;no_data
6630;1;no_data
6631;1;no_data
6632;1;no_data
6633;1;no_data
6634;1;no_data
6635;1;no_data
6636;1;no_data
6637;1;no_data
6638;1;no_data
6639;1;no_data
6640;1;no_data
6641;1;no_data
6642;1;no_data
6643;1;no_data
6644;1;no_data
6645;1;no_data
6646;1;no_data
6647;1;no_data
6648;1;no_data
6649;1;no_data
6650;1;no_data
6651;1;no_data
6652;1;no_data
6653;1;no_data
6654;1;no_data
6655;1;no_data
6656;1;no_data
6657;1;no_data
6658;1;no_data
6659;1;no_data
6660;1;no_data
6661;1;no_data
6662;1;no_data
6663;1;no_data
6664;1;no_data
6665;1;no_data
6666;1;no_data
6667;1;no_data
6668;1;no_data
6669;1;no_data
6670;1;no_data
6671;1;no_data
6672;1;no_data
6685;1;no_data
6767;1;no_data
6769;1;no_data
6770;1;no_data
6779;1;no_data
6781;1;no_data
6783;1;no_data
6785;1;no_data
6788;1;no_data
6792;1;no_data
6801;1;no_data
6803;1;no_data
6808;1;no_data
6815;1;no_data
6825;1;no_data
6826;0;no_data
6827;1;no_data
6828;1;no_data
6829;1;no_data
6830;1;no_data
6831;1;no_data
6832;1;no_data
6833;1;no_data
6834;1;no_data
6835;0;no_data
6836;1;no_data
6837;1;no_data
6838;1;no_data
6839;1;no_data
6840;1;no_data
6841;0;no_data
6842;1;no_data
6843;1;no_data
6844;1;no_data
6845;1;no_data
6846;1;no_data
6847;1;no_data
6848;1;no_data
6849;0;no_data
6850;1;no_data
6851;1;no_data
6852;1;no_data
6853;1;no_data
6854;1;no_data
6855;1;no_data
6856;1;no_data
6857;1;no_data
6858;1;no_data
6859;1;no_data
6860;1;no_data
6861;1;no_data
6862;1;no_data
6863;1;no_data
6864;1;no_data
6865;1;no_data
6866;1;no_data
6867;1;no_data
6868;1;no_data
6869;1;no_data
6870;1;no_data
6871;1;no_data
6872;1;no_data
6873;0;no_data
6874;1;no_data
6875;1;no_data
6876;1;no_data
6877;1;no_data
6878;1;no_data
6879;1;no_data
6880;1;no_data
6881;1;no_data
6937;1;no_data
6938;1;no_data
6939;1;no_data
6940;1;no_data
6942;0;no_data
6944;1;no_data
6945;1;no_data
6946;1;no_data
6947;1;no_data
6948;1;no_data
6950;1;no_data
6951;0;no_data
6952;1;no_data
6953;1;no_data
6954;0;no_data
6955;1;no_data
6956;0;no_data
6958;1;no_data
6959;1;no_data
6960;0;no_data
6961;1;no_data
6962;1;no_data
6963;1;no_data
6965;1;no_data
6966;1;no_data
6967;1;no_data
6968;1;no_data
6969;1;no_data
6970;1;no_data
